,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,ナース評価値,最大連勤違反,最小連勤違反,最小連休違反,週末最大違反,休暇希望違反,最大勤務数違反,最大勤務時間違反, 最小勤務時間違反,禁止勤務パターン数,ONリクエスト,OFFリクエスト
11,1,1,5,5,0,0,3,5,5,0,0,0,0,3,5,5,5,0,0,5,5,3,3,3,3,3,5,5,0,0,3,3,3,5,5,0,0,0,0,3,5,5,3,3,3,5,5,0,0,5,5,0,3,3,5,5,1,1,3,3,3,5,5,5,5,5,1,1,1,1,1,5,5,5,5,0,0,3,3,5,5,3,3,3,8,0,0,0,0,0,0,0,0,0,8,0,
12,4,5,5,0,3,5,5,5,5,5,5,5,0,4,5,5,3,3,3,3,3,5,5,3,3,3,5,5,3,3,5,5,5,0,4,4,5,5,0,0,5,5,5,3,3,3,4,5,5,0,0,3,4,4,5,5,0,0,3,3,4,5,5,0,3,4,5,5,0,0,3,3,3,5,5,4,4,4,5,5,0,0,0,0,17,0,0,0,0,0,0,0,0,0,15,2,
13,1,1,2,2,2,5,5,2,2,1,5,5,1,2,1,2,1,5,5,2,1,2,1,1,5,5,5,5,5,5,0,0,4,5,5,0,2,2,1,4,5,5,5,5,0,0,0,4,4,5,5,5,0,2,2,2,5,5,2,4,5,5,5,0,0,2,5,5,0,2,5,5,4,4,4,5,5,5,5,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,11,0,
14,3,5,5,5,5,5,2,2,2,2,3,5,5,5,5,5,1,3,3,3,3,5,5,3,3,3,5,5,2,2,2,5,5,0,0,5,5,1,1,3,5,5,0,0,0,0,0,5,5,3,3,3,3,3,5,5,0,2,3,3,3,5,5,5,3,3,3,3,3,5,5,0,2,2,2,1,5,5,2,1,3,3,3,5,7,0,0,0,0,0,0,0,0,0,7,0,
15,0,0,5,5,3,3,3,3,5,5,0,0,5,5,1,1,1,5,5,3,3,3,3,3,5,5,5,5,5,5,0,0,1,5,5,1,1,1,1,1,5,5,0,1,1,1,3,5,5,0,1,1,5,5,0,3,5,5,1,1,1,1,3,5,5,3,3,3,3,5,5,0,0,0,3,5,5,0,0,5,5,1,3,3,17,0,0,0,0,0,0,0,0,0,17,0,
16,2,5,5,0,0,0,4,5,5,3,3,4,5,5,0,3,4,5,5,0,0,0,5,5,5,3,3,3,3,3,5,5,5,5,5,5,3,3,3,5,5,5,3,4,5,5,0,0,3,5,5,5,2,3,3,4,4,5,5,4,4,4,4,4,5,5,0,4,5,5,3,3,3,3,3,5,5,0,3,3,3,3,5,5,5,0,0,0,0,0,0,0,0,0,4,1,
17,0,4,4,5,5,0,0,0,4,4,5,5,5,0,0,0,0,0,5,5,5,0,0,0,0,5,5,0,0,0,0,5,5,0,0,0,5,5,0,0,5,5,0,4,4,4,4,5,5,5,4,4,5,5,5,5,5,5,0,0,0,5,5,0,4,5,5,0,0,0,0,5,5,0,4,5,5,0,0,5,5,0,0,0,10,0,0,0,0,0,0,0,0,0,5,5,
18,5,5,5,5,5,5,0,3,3,3,3,5,5,5,0,0,1,1,1,5,5,1,4,4,4,4,5,5,4,4,4,4,5,5,3,3,3,5,5,5,5,5,5,0,1,3,3,3,5,5,0,4,4,5,5,3,4,5,5,0,0,5,5,3,3,3,3,3,5,5,3,3,4,5,5,0,3,3,3,5,5,3,3,3,13,0,0,0,0,0,0,0,0,0,10,3,
19,0,0,1,5,5,5,5,1,1,1,1,1,5,5,1,1,1,5,5,5,0,1,1,5,5,1,1,1,1,5,5,5,1,1,1,1,1,5,5,0,1,1,1,5,5,0,1,1,1,1,5,5,0,1,5,5,0,0,0,0,0,5,5,0,0,0,5,5,1,1,1,1,1,5,5,5,5,1,1,1,1,1,5,5,7,0,0,0,0,0,0,0,0,0,6,1,
20,1,2,5,5,0,2,1,2,5,5,2,1,5,5,0,0,1,2,5,5,5,5,1,2,2,2,5,5,0,0,0,0,2,5,5,0,0,2,1,2,5,5,5,5,0,0,0,1,1,5,5,1,1,1,1,2,5,5,1,2,1,1,2,5,5,2,1,5,5,2,2,2,1,5,5,5,5,0,2,5,5,0,1,2,14,0,0,0,0,0,0,0,0,0,14,0,
21,2,5,5,2,1,1,1,1,5,5,2,2,2,1,1,5,5,5,5,5,5,2,1,2,1,5,5,2,1,5,5,1,2,1,1,5,5,1,2,1,1,1,5,5,2,2,1,5,5,2,2,1,1,1,5,5,2,1,2,1,1,5,5,1,2,2,2,1,5,5,1,1,5,5,1,1,1,2,5,5,2,1,5,5,5,0,0,0,0,0,0,0,0,0,5,0,
22,0,0,0,3,3,5,5,3,3,3,3,3,5,5,3,3,3,5,5,3,3,3,5,5,5,0,3,3,3,3,5,5,0,3,3,3,5,5,0,3,5,5,0,3,3,3,5,5,5,3,3,3,3,3,5,5,3,3,5,5,3,3,3,3,5,5,0,0,3,3,3,5,5,5,5,5,5,3,3,3,5,5,3,3,12,0,0,0,0,0,0,0,0,0,12,0,
23,3,3,3,3,3,5,5,3,3,3,3,3,5,5,5,5,0,0,0,0,0,5,5,5,5,3,3,5,5,0,1,3,3,5,5,3,3,5,5,0,0,0,0,0,5,5,0,1,1,2,2,5,5,0,3,3,5,5,0,3,3,5,5,0,1,5,5,2,2,5,5,0,0,3,3,5,5,0,0,0,2,1,5,5,13,0,0,0,0,0,0,0,0,0,13,0,
24,1,5,5,0,0,1,1,3,5,5,3,4,5,5,0,1,3,3,3,5,5,5,3,4,4,4,5,5,1,1,1,3,3,5,5,5,3,3,3,3,5,5,4,4,4,5,5,5,3,3,3,5,5,3,3,5,5,0,1,3,4,5,5,5,5,1,3,5,5,3,3,3,3,3,5,5,5,5,5,0,0,0,1,1,30,0,0,0,0,0,0,0,0,0,30,0,
25,3,3,3,4,4,5,5,4,4,4,4,4,5,5,3,3,5,5,5,1,3,3,4,5,5,3,3,5,5,3,3,3,3,5,5,3,3,3,3,5,5,5,3,3,5,5,3,3,3,4,5,5,5,5,3,3,3,3,3,5,5,1,3,3,3,5,5,3,3,4,5,5,3,3,3,5,5,4,4,5,5,5,5,5,11,0,0,0,0,0,0,0,0,0,9,2,
26,0,0,0,0,0,5,5,0,0,0,0,0,5,5,3,3,4,4,4,5,5,5,5,5,0,0,0,3,4,5,5,5,3,3,3,3,4,5,5,0,0,0,5,5,0,3,5,5,5,1,1,2,2,4,5,5,3,3,4,4,5,5,1,1,1,1,4,5,5,5,5,5,5,0,3,4,5,5,5,5,5,4,4,5,5,0,0,0,0,0,0,0,0,0,5,0,
27,0,1,1,3,3,5,5,2,1,3,3,3,5,5,3,3,3,3,3,5,5,3,3,3,3,5,5,5,5,5,5,1,1,5,5,1,2,5,5,3,3,3,3,3,5,5,3,3,3,3,5,5,0,3,3,3,3,5,5,5,5,0,0,2,5,5,0,3,5,5,0,2,5,5,2,1,2,5,5,3,3,3,3,3,30,0,0,0,0,0,0,0,0,0,27,3,
28,3,3,3,3,3,5,5,3,3,3,3,3,5,5,5,5,0,0,0,3,3,5,5,0,0,3,5,5,0,0,0,5,5,3,3,3,3,5,5,1,3,3,3,5,5,0,1,5,5,5,5,5,5,0,1,3,3,5,5,1,1,5,5,3,3,3,3,3,5,5,3,3,5,5,3,3,3,3,5,5,3,3,3,3,22,0,0,0,0,0,0,0,0,0,20,2,
29,0,0,0,0,0,5,5,0,0,0,2,2,5,5,0,0,0,0,2,5,5,2,2,2,2,5,5,0,0,0,0,2,5,5,0,2,2,2,2,5,5,5,5,5,5,5,5,5,5,0,2,5,5,0,0,0,0,0,5,5,0,0,2,2,5,5,0,0,0,0,5,5,0,0,0,0,0,5,5,0,0,2,5,5,12,0,0,0,0,0,0,0,0,0,10,2,
30,5,2,2,1,1,5,5,2,1,1,5,5,5,5,0,0,1,5,5,3,4,4,4,5,5,5,5,5,3,3,3,3,5,5,3,4,4,4,5,5,5,5,1,3,3,4,5,5,5,5,5,5,0,2,4,4,5,5,1,1,2,3,5,5,0,0,2,5,5,5,0,0,1,1,5,5,5,0,3,4,4,5,5,2,30,0,0,0,0,0,0,0,0,0,30,0,
31,0,0,0,5,5,5,5,5,0,0,0,0,5,5,0,0,0,5,5,0,0,0,0,5,5,0,0,0,0,5,5,0,0,0,5,5,0,0,0,0,5,5,0,0,0,0,5,5,5,0,0,0,5,5,5,0,0,0,5,5,0,0,0,5,5,0,0,0,5,5,5,0,0,0,5,5,5,0,0,0,5,5,0,0,21,0,0,0,0,0,0,0,0,0,9,12,
32,3,3,3,5,5,4,4,4,4,5,5,3,3,4,5,5,3,3,3,3,5,5,5,5,5,5,5,5,5,3,3,4,4,5,5,2,2,2,3,5,5,5,5,3,3,3,3,5,5,3,3,3,4,5,5,5,5,5,3,3,3,4,5,5,3,4,4,5,5,3,3,3,5,5,0,2,2,5,5,3,3,3,5,5,14,0,0,0,0,0,0,0,0,0,14,0,
33,5,2,1,1,1,5,5,5,5,5,5,5,0,4,4,5,5,2,2,2,5,5,4,4,4,5,5,5,5,1,2,1,4,5,5,0,0,0,5,5,0,0,0,0,5,5,1,2,2,5,5,0,0,0,5,5,5,5,0,0,2,5,5,0,2,2,5,5,4,4,4,4,5,5,0,0,4,5,5,2,2,2,5,5,12,0,0,0,0,0,0,0,0,0,12,0,
34,1,2,2,2,5,5,5,5,5,5,5,5,0,0,5,5,5,5,5,5,5,1,1,1,1,5,5,0,0,5,5,5,5,5,5,5,5,5,1,2,2,2,5,5,5,5,5,0,2,5,5,2,1,5,5,0,2,5,5,5,0,0,0,5,5,5,5,5,5,5,5,5,5,5,0,1,1,5,5,5,5,5,5,5,11,0,0,0,0,0,0,0,0,0,11,0,
35,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,5,5,5,0,0,0,5,5,5,0,3,5,5,0,0,0,3,5,5,5,5,5,0,0,5,5,5,5,0,0,5,5,0,3,3,3,3,5,5,5,5,5,5,5,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,3,5,5,5,5,28,0,0,0,0,0,0,0,0,0,28,0,
36,1,1,5,5,0,1,1,1,1,5,5,5,5,5,5,5,5,5,0,0,5,5,0,4,5,5,5,5,5,1,1,5,5,0,4,5,5,5,5,5,5,0,4,5,5,5,5,4,4,5,5,0,0,1,4,5,5,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,5,0,4,5,5,5,5,5,5,5,5,27,0,0,0,0,0,0,0,0,0,25,2,
37,5,5,5,5,3,3,3,4,5,5,5,5,5,5,5,5,0,4,5,5,5,5,5,5,5,5,0,0,3,5,5,1,4,4,5,5,5,0,0,3,5,5,5,0,3,5,5,0,3,5,5,5,5,5,5,5,5,5,5,5,3,4,5,5,5,5,5,5,5,5,5,0,0,1,5,5,3,3,3,5,5,5,5,5,37,0,0,0,0,0,0,0,0,0,37,0,
38,1,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,2,2,1,5,5,5,0,0,0,0,5,5,5,5,0,2,5,5,5,1,2,5,5,2,2,2,1,5,5,5,1,1,5,5,0,0,5,5,5,5,1,2,5,5,5,5,5,5,5,5,5,5,0,0,5,5,5,5,5,5,5,2,2,5,5,5,5,5,13,0,0,0,0,0,0,0,0,0,13,0,
39,5,5,5,2,1,5,5,5,0,0,0,0,0,5,5,5,5,5,5,1,1,5,5,5,5,5,5,1,2,5,5,2,2,5,5,1,1,5,5,5,2,1,5,5,5,0,0,0,0,1,5,5,5,5,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,1,2,1,1,2,5,5,5,5,5,5,5,5,5,5,1,0,0,0,0,0,0,0,0,0,1,0,
人数違反,8,1,5,202,3,1100,1000,7,200,3,5,4,900,1000,3,101,2,2,4,200,300,3,101,204,3,103,400,601,302,1,103,5,401,800,1500,2,9,4,7,5,1301,900,4,103,3,6,105,801,301,4,3,2,303,3,4,0,0,1,101,3,6,501,800,3,201,200,105,1,400,301,4,4,203,301,102,603,501,5,100,102,302,9,201,202,
Eの勤務人数,11,9,7,7,7,3,2,7,7,7,6,6,7,5,11,8,8,7,7,8,7,7,8,6,7,7,5,7,8,9,10,7,4,5,3,9,8,7,9,9,3,4,8,7,7,10,7,6,4,7,7,7,8,6,7,7,7,6,7,8,11,7,6,9,7,7,8,5,5,4,6,8,7,6,7,5,3,8,6,6,7,8,6,5,
d1の勤務人数,10,6,5,5,8,5,6,5,5,4,3,4,2,2,5,3,7,3,4,3,4,4,6,4,5,5,3,2,6,5,5,5,4,2,2,7,5,5,8,5,3,4,5,4,5,4,7,5,4,6,4,5,4,6,4,2,3,5,5,5,4,3,2,4,3,5,5,5,3,4,5,6,7,4,3,5,4,4,4,5,4,8,5,5,
d2の勤務人数,3,4,3,4,2,1,2,6,3,2,4,4,1,1,2,2,2,5,3,3,1,4,3,4,2,2,1,2,2,2,3,4,3,1,1,2,5,5,3,4,3,2,2,2,2,3,2,1,2,2,4,2,2,2,1,2,3,2,2,1,2,0,2,2,2,4,3,2,2,2,3,4,1,2,2,3,3,3,4,2,3,2,2,2,
Lの勤務人数,7,8,8,6,7,3,4,7,5,8,11,7,4,4,7,7,7,7,8,7,6,7,6,7,6,8,6,4,7,7,5,7,9,5,6,7,8,6,6,8,4,3,6,7,8,7,6,3,5,6,7,8,5,7,6,7,8,5,6,7,9,4,5,6,7,5,5,7,5,5,9,7,5,4,6,3,6,6,7,6,6,8,9,7,
Nの勤務人数,2,2,2,3,4,1,2,3,4,3,1,3,0,3,2,1,3,2,1,0,1,1,4,4,3,3,0,0,2,2,2,3,4,1,2,2,3,2,1,2,0,1,2,3,3,3,4,3,2,2,2,3,3,2,2,2,2,1,2,3,3,3,1,2,3,3,4,2,1,2,1,2,4,2,3,3,2,3,2,1,1,3,2,2,
Eの必要人数,8,8,6,8,7,7,7,6,7,7,6,6,7,9,9,8,7,7,6,8,8,7,7,7,7,7,5,7,7,8,9,6,8,7,8,9,8,6,7,9,8,7,6,7,7,8,7,7,5,4,6,7,8,5,4,7,7,5,7,8,7,7,9,6,8,7,8,5,7,6,6,8,7,6,7,7,7,7,7,6,5,7,7,6,
d1の必要人数,7,6,5,5,7,5,6,4,5,4,3,4,4,4,4,3,6,3,3,3,4,4,6,3,4,5,3,3,6,5,4,4,4,4,5,5,3,4,4,4,4,4,4,4,4,4,4,5,4,5,4,5,3,4,4,2,3,5,4,3,4,4,3,4,3,5,2,5,3,4,3,4,4,4,4,4,4,4,4,4,4,3,6,4,
d2の必要人数,2,4,2,2,2,1,3,3,3,2,2,1,3,1,2,2,2,4,1,3,2,1,3,2,1,1,2,1,1,2,2,1,3,3,4,2,1,3,2,1,2,2,2,3,2,2,2,2,1,2,3,1,3,2,1,2,3,2,2,1,2,2,2,2,3,4,2,2,2,2,1,2,1,4,2,2,2,2,4,1,4,2,2,3,
Lの必要人数,7,8,5,7,7,7,6,7,7,6,8,7,7,7,7,6,7,7,8,7,6,7,7,8,5,6,7,7,8,7,5,7,9,7,9,7,7,6,6,8,9,7,5,5,7,6,7,9,6,6,6,7,7,7,5,7,8,5,7,7,8,6,8,6,7,6,6,6,6,6,9,7,7,5,6,7,7,4,7,6,8,7,8,6,
Nの必要人数,1,2,2,3,2,4,4,1,4,2,1,2,2,4,2,2,3,1,1,2,2,1,4,3,3,4,2,2,4,2,3,3,3,1,3,2,1,2,1,1,2,3,2,2,2,1,2,2,3,2,2,3,1,2,2,2,2,1,2,2,2,2,2,2,2,4,3,2,2,1,1,2,4,1,1,2,2,2,2,2,1,1,2,2,
