,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,ナース評価値,最大連勤違反,最小連勤違反,最小連休違反,週末最大違反,休暇希望違反,最大勤務数違反,最大勤務時間違反, 最小勤務時間違反,禁止勤務パターン数,ONリクエスト,OFFリクエスト
13,1,1,1,3,4,4,4,4,1,2,3,3,4,4,0,1,1,2,4,4,0,0,2,4,4,2,2,2,3,3,4,4,2,2,4,4,0,0,0,3,4,4,4,2,2,2,2,3,4,4,1,1,2,3,4,4,5,0,0,0,0,0,0,0,0,0,5,0,
14,3,3,4,4,4,4,4,0,0,0,0,0,4,4,0,0,0,0,4,4,4,3,3,3,3,3,4,4,0,0,4,4,0,0,0,0,0,4,4,4,0,0,3,3,3,4,4,0,0,0,0,0,4,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,
15,1,1,1,1,1,4,4,1,1,4,4,1,2,2,3,4,4,1,1,4,4,2,2,2,4,4,2,3,3,3,4,4,1,1,1,2,2,4,4,1,1,1,1,3,4,4,4,4,4,2,2,3,3,3,4,4,12,0,0,0,0,0,0,0,0,0,12,0,
16,2,4,4,2,2,4,4,4,0,0,0,0,4,4,2,2,2,4,4,0,0,2,3,4,4,0,0,0,0,0,4,4,2,3,3,3,3,4,4,0,2,2,2,4,4,2,2,4,4,3,3,3,3,3,4,4,2,0,0,0,0,0,0,0,0,0,2,0,
17,1,1,1,1,3,4,4,0,1,1,1,3,4,4,1,3,3,3,4,4,4,0,0,0,4,4,3,3,3,3,4,4,0,0,0,0,3,4,4,1,1,1,1,4,4,0,1,4,4,4,4,4,4,1,1,1,2,0,0,0,0,0,0,0,0,0,2,0,
18,4,0,0,0,0,4,4,2,2,2,2,2,4,4,1,1,4,4,0,1,1,4,4,4,0,2,4,4,0,0,0,0,0,4,4,0,0,4,4,4,0,1,2,2,2,4,4,0,1,2,2,4,4,1,1,1,9,0,0,0,0,0,0,0,0,0,9,0,
19,4,0,0,0,2,2,4,4,4,4,4,4,3,3,3,4,4,0,0,4,4,2,2,2,2,3,4,4,2,2,3,3,3,4,4,2,2,2,2,2,4,4,0,0,4,4,0,0,2,3,3,4,4,2,2,3,4,0,0,0,0,0,0,0,0,0,4,0,
20,0,1,1,1,1,4,4,4,4,1,1,2,4,4,2,2,3,4,4,0,1,3,4,4,0,1,2,2,2,4,4,1,2,4,4,2,2,3,3,3,4,4,4,0,0,4,4,0,0,1,4,4,0,1,1,1,11,0,0,0,0,0,0,0,0,0,11,0,
21,0,0,0,1,3,4,4,1,1,1,2,3,4,4,4,0,0,0,0,4,4,0,1,4,4,1,1,3,3,4,4,4,4,2,2,2,2,3,4,4,1,2,4,4,0,1,1,4,4,0,0,3,4,4,3,3,5,0,0,0,0,0,0,0,0,0,5,0,
22,0,0,1,1,1,4,4,4,4,4,4,4,1,2,3,3,3,4,4,1,2,4,4,1,1,1,1,2,4,4,1,1,1,4,4,1,1,1,1,1,4,4,1,3,3,3,3,4,4,1,1,2,4,4,3,3,8,0,0,0,0,0,0,0,0,0,8,0,
23,1,1,4,4,1,1,1,2,2,4,4,4,4,4,2,2,2,2,2,4,4,1,1,1,1,2,4,4,1,1,2,2,4,4,0,1,1,1,4,4,2,2,2,4,4,0,1,1,1,4,4,1,1,1,4,4,12,0,0,0,0,0,0,0,0,0,12,0,
24,0,1,1,1,1,4,4,3,3,4,4,1,1,1,1,2,4,4,3,3,3,3,3,4,4,4,4,4,4,0,0,0,0,4,4,1,1,1,3,4,4,4,0,1,2,4,4,2,2,2,4,4,0,2,3,3,8,0,0,0,0,0,0,0,0,0,8,0,
25,3,3,3,3,4,4,4,0,0,4,4,0,0,0,3,4,4,3,3,3,3,3,4,4,0,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,4,4,4,4,0,0,0,4,4,0,0,0,0,0,4,4,9,0,0,0,0,0,0,0,0,0,9,0,
26,2,3,3,4,4,0,0,2,3,3,4,4,0,0,1,4,4,0,1,4,4,1,1,3,3,4,4,4,1,3,4,4,0,0,2,4,4,0,0,0,0,0,4,4,1,2,2,4,4,0,1,1,2,3,4,4,5,0,0,0,0,0,0,0,0,0,5,0,
27,3,4,4,4,0,0,0,0,0,4,4,0,2,2,2,4,4,0,0,0,2,4,4,1,1,1,4,4,2,3,3,3,3,4,4,0,1,1,1,4,4,0,1,2,2,2,4,4,4,1,1,2,2,4,4,4,9,0,0,0,0,0,0,0,0,0,9,0,
28,3,4,4,0,0,0,0,2,4,4,1,1,4,4,1,1,1,1,1,4,4,0,0,0,3,4,4,1,1,1,1,2,4,4,4,4,4,0,1,1,4,4,0,0,0,4,4,2,3,4,4,2,2,2,3,3,15,0,0,0,0,0,0,0,0,0,15,0,
29,0,0,1,1,4,4,1,3,4,4,0,0,1,1,4,4,1,1,2,2,2,4,4,0,1,4,4,4,1,2,2,2,3,4,4,1,2,3,3,3,4,4,4,1,1,2,3,3,4,4,4,0,1,2,4,4,6,0,0,0,0,0,0,0,0,0,6,0,
30,2,2,3,3,4,4,4,4,0,1,3,4,4,0,4,4,4,0,0,4,4,0,0,1,1,4,4,1,1,4,4,1,1,2,4,4,1,2,3,3,4,4,0,0,0,3,4,4,4,1,1,1,4,4,1,1,2004,0,1,0,0,1,0,0,0,0,4,0,
31,4,0,1,2,2,4,4,2,2,2,4,4,3,3,3,3,4,4,4,0,0,4,4,0,1,1,4,4,4,4,1,2,2,4,4,0,0,0,0,4,4,4,0,1,1,3,4,4,0,0,0,3,4,4,1,2,13,0,0,0,0,0,0,0,0,0,13,0,
人数違反,4,8,5,7,5,1200,1200,1,7,1,0,3,300,300,3,0,0,4,1,1000,300,5,2,1,0,100,700,600,1,1,2,0,5,400,500,4,2,4,2,2,700,1000,4,3,3,0,2,200,1,2,4,2,3,3,0,5,
Eの勤務人数,8,10,6,6,6,4,4,5,7,3,5,6,4,5,5,4,5,6,6,5,3,8,6,6,5,5,5,2,6,6,5,5,8,5,5,7,6,8,5,5,6,5,8,7,7,7,5,4,3,6,5,6,4,4,3,4,
Dの勤務人数,6,9,10,7,5,3,4,7,8,8,6,7,6,4,8,6,6,7,6,3,2,5,6,6,8,6,4,5,8,5,6,6,6,5,4,6,7,5,6,8,4,4,7,5,6,5,7,4,4,6,6,6,5,7,6,5,
Lの勤務人数,6,5,5,7,7,1,0,7,5,6,3,4,6,6,5,5,5,8,6,2,5,6,7,7,3,6,4,4,7,6,5,5,5,6,4,8,8,6,4,3,3,4,5,5,5,6,4,4,4,7,6,4,5,5,5,4,
Nの勤務人数,4,4,4,5,3,0,0,5,4,2,2,4,2,3,5,4,3,3,5,2,2,4,5,4,3,3,1,4,4,5,4,4,4,1,2,2,5,4,4,6,1,1,4,4,4,4,4,3,3,5,4,6,3,5,6,7,
Eの必要人数,5,5,6,5,6,6,5,5,4,3,5,5,5,6,3,4,5,4,6,5,3,5,6,6,5,5,6,5,5,6,4,5,5,5,5,6,6,5,4,5,6,7,6,4,5,7,5,4,2,6,3,4,3,4,3,4,
Dの必要人数,5,6,6,6,4,5,4,6,6,8,6,6,6,5,7,6,6,7,6,6,4,5,6,6,8,6,6,6,8,4,6,6,6,7,5,5,7,5,6,8,6,8,6,5,5,5,5,4,4,5,6,6,4,6,6,5,
Lの必要人数,6,5,5,3,3,5,7,7,4,5,3,3,6,7,5,5,5,6,5,5,5,4,5,6,3,6,5,5,7,6,4,5,4,6,5,6,6,5,3,3,5,5,5,5,5,6,4,5,4,6,4,4,4,5,5,4,
Nの必要人数,4,4,3,4,3,4,4,5,3,2,2,4,4,3,5,4,3,3,5,6,3,4,5,4,3,4,4,5,4,5,4,4,3,3,5,2,5,4,4,4,4,4,3,4,4,4,4,4,3,5,4,6,3,3,6,2,
