,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,ナース評価値,最大連勤違反,最小連勤違反,最小連休違反,週末最大違反,休暇希望違反,最大勤務数違反,最大勤務時間違反, 最小勤務時間違反,禁止勤務パターン数,ONリクエスト,OFFリクエスト
17,D,D,D,D,D,─,─,E,E,D,N,─,─,─,N,N,N,N,N,─,─,D,D,─,─,N,N,N,N,─,─,E,E,E,E,E,─,─,E,E,E,E,─,─,E,E,D,─,─,─,─,─,─,D,D,D,0,0,0,0,0,0,0,0,0,0,0,0,
18,E,E,D,L,L,─,─,L,L,L,L,L,─,─,─,─,E,E,E,D,D,─,─,─,─,L,L,L,L,L,─,─,─,D,D,D,D,─,─,D,D,L,─,─,L,L,L,─,─,E,D,D,D,L,─,─,0,0,0,0,0,0,0,0,0,0,0,0,
19,E,E,E,─,─,E,E,N,─,─,─,─,N,N,N,─,─,L,L,─,─,L,L,L,L,L,─,─,N,N,N,N,N,─,─,─,L,L,L,L,─,─,E,E,N,─,─,L,L,─,─,L,L,L,L,L,0,0,0,0,0,0,0,0,0,0,0,0,
20,L,L,L,N,N,─,─,─,D,D,─,─,L,L,L,L,L,─,─,─,─,E,E,D,D,D,─,─,E,E,D,─,─,L,L,L,L,L,─,─,─,─,─,─,E,E,E,E,E,─,─,D,D,D,D,D,2,0,0,0,0,0,0,0,0,0,2,0,
21,E,E,D,D,N,─,─,N,N,─,─,N,N,N,─,─,E,E,E,E,E,─,─,─,D,D,D,D,N,─,─,─,─,L,L,L,L,L,─,─,─,─,E,D,L,L,N,─,─,E,E,E,E,N,─,─,1,0,0,0,0,0,0,0,0,0,1,0,
22,D,D,D,D,L,─,─,─,─,─,─,─,L,L,N,N,N,─,─,E,L,N,N,─,─,D,D,D,─,─,D,D,D,D,D,─,─,D,D,D,─,─,D,N,N,N,N,─,─,D,L,L,L,N,─,─,5,0,0,0,0,0,0,0,0,0,5,0,
23,D,D,D,D,D,─,─,D,L,─,─,─,─,─,L,L,L,L,L,─,─,E,D,L,─,─,L,L,L,L,L,─,─,D,D,D,D,L,─,─,L,L,L,L,L,─,─,D,D,D,D,D,─,─,─,─,5,0,0,0,0,0,0,0,0,0,5,0,
24,L,L,L,─,─,N,N,N,N,─,─,D,D,D,D,D,─,─,N,N,N,N,N,─,─,─,─,─,─,─,E,E,E,E,E,─,─,D,D,D,─,─,D,L,L,L,N,─,─,L,L,L,L,L,─,─,2,0,0,0,0,0,0,0,0,0,2,0,
25,E,E,N,─,─,N,N,─,─,E,E,E,E,E,─,─,E,N,N,N,N,─,─,E,E,E,E,─,─,E,E,E,E,─,─,E,E,E,N,─,─,─,─,─,E,E,E,─,─,E,E,E,E,N,─,─,6,0,0,0,0,0,0,0,0,0,6,0,
26,E,E,E,─,─,L,L,L,N,N,─,─,─,─,E,E,E,D,D,─,─,─,D,D,D,─,─,─,E,E,E,E,E,─,─,─,D,N,─,─,E,E,E,E,D,─,─,E,N,N,N,N,─,─,L,L,1,0,0,0,0,0,0,0,0,0,1,0,
27,N,─,─,─,─,E,E,E,E,D,─,─,D,L,L,L,L,─,─,E,D,D,D,D,─,─,D,D,─,─,N,N,N,─,─,E,N,N,N,N,─,─,L,L,L,L,L,─,─,L,L,L,N,─,─,─,3,0,0,0,0,0,0,0,0,0,3,0,
28,E,─,─,E,E,E,L,L,─,─,D,D,D,D,─,─,D,D,D,D,D,─,─,D,D,D,─,─,D,D,D,D,─,─,─,─,─,D,D,D,N,N,─,─,D,L,L,─,─,E,D,L,L,L,─,─,8,0,0,0,0,0,0,0,0,0,8,0,
29,─,─,D,D,D,D,D,─,─,D,D,L,L,L,─,─,D,D,D,L,L,─,─,D,D,─,─,─,D,N,N,N,N,─,─,D,D,D,D,D,─,─,─,D,D,D,D,─,─,─,N,N,─,─,L,N,0,0,0,0,0,0,0,0,0,0,0,0,
30,L,N,N,N,─,─,─,─,E,E,E,N,─,─,D,D,D,─,─,L,L,L,L,─,─,─,D,D,D,─,─,D,D,─,─,E,D,N,─,─,D,D,D,D,─,─,D,L,N,N,─,─,D,D,─,─,1,0,0,0,0,0,0,0,0,0,1,0,
31,E,N,─,─,L,L,L,N,─,─,─,N,N,N,N,─,─,E,E,E,E,─,─,E,D,L,─,─,─,─,D,D,D,─,─,─,E,E,E,E,─,─,E,L,L,N,─,─,─,E,E,E,─,─,D,D,12,0,0,0,0,0,0,0,0,0,12,0,
人数違反,10,5,3,1,3,400,400,0,2,0,0,2,100,100,2,0,3,0,0,700,0,0,0,2,0,0,500,600,0,0,4,0,4,500,400,3,0,2,0,2,300,600,4,0,2,0,6,400,0,2,5,6,7,5,600,100,
Eの勤務人数,15,10,6,6,6,6,5,5,6,3,5,5,5,5,4,4,6,4,6,5,3,5,6,8,5,5,5,3,5,6,6,5,5,5,4,9,6,5,4,5,6,6,7,4,6,7,5,4,2,8,6,5,4,4,3,3,
Dの勤務人数,5,6,9,6,4,4,3,6,6,8,6,6,6,5,7,6,6,7,6,3,4,5,6,6,8,6,5,6,8,4,6,6,7,6,5,5,7,5,6,8,5,4,6,5,5,5,6,4,4,5,6,7,7,6,5,5,
Lの勤務人数,6,5,5,3,6,4,6,7,4,5,3,4,6,7,6,5,7,6,5,5,5,4,5,6,3,6,5,4,7,6,5,5,5,4,5,6,6,7,3,5,5,5,6,5,6,6,8,5,4,6,6,8,5,5,5,4,
Nの勤務人数,4,4,3,4,3,2,2,5,3,2,2,5,3,3,5,4,3,3,5,2,3,4,5,4,3,4,1,2,4,5,5,4,5,1,2,2,5,4,4,4,2,3,5,4,4,4,5,0,3,5,4,6,5,8,1,2,
Eの必要人数,5,5,6,5,6,6,5,5,4,3,5,5,5,6,3,4,5,4,6,5,3,5,6,6,5,5,6,5,5,6,4,5,5,5,5,6,6,5,4,5,6,7,6,4,5,7,5,4,2,6,3,4,3,4,3,4,
Dの必要人数,5,6,6,6,4,5,4,6,6,8,6,6,6,5,7,6,6,7,6,6,4,5,6,6,8,6,6,6,8,4,6,6,6,7,5,5,7,5,6,8,6,8,6,5,5,5,5,4,4,5,6,6,4,6,6,5,
Lの必要人数,6,5,5,3,3,5,7,7,4,5,3,3,6,7,5,5,5,6,5,5,5,4,5,6,3,6,5,5,7,6,4,5,4,6,5,6,6,5,3,3,5,5,5,5,5,6,4,5,4,6,4,4,4,5,5,4,
Nの必要人数,4,4,3,4,3,4,4,5,3,2,2,4,4,3,5,4,3,3,5,6,3,4,5,4,3,4,4,5,4,5,4,4,3,3,5,2,5,4,4,4,4,4,3,4,4,4,4,4,3,5,4,6,3,3,6,2,
