,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,ナース評価値,最大連勤違反,最小連勤違反,最小連休違反,週末最大違反,休暇希望違反,最大勤務数違反,最大勤務時間違反, 最小勤務時間違反,禁止勤務パターン数,ONリクエスト,OFFリクエスト
13,1,1,2,3,4,4,4,4,1,1,2,3,4,4,0,1,1,4,4,1,1,3,3,4,4,2,2,2,3,4,4,2,2,2,2,2,4,4,1,1,4,4,1,3,3,3,3,4,4,4,4,1,1,1,3,4,3,0,0,0,0,0,0,0,0,0,3,0,
14,3,4,4,4,4,4,4,0,0,0,3,3,4,4,0,0,0,0,0,4,4,4,0,0,0,3,4,4,0,0,0,4,4,0,0,0,0,0,4,4,0,0,3,4,4,3,3,3,3,3,4,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,6,4,
15,1,1,1,4,4,2,2,3,4,4,1,1,4,4,1,1,1,1,1,4,4,2,2,2,2,2,4,4,3,3,3,4,4,2,2,2,2,2,4,4,1,2,2,2,4,4,4,4,4,3,3,3,4,4,1,1,7,0,0,0,0,0,0,0,0,0,7,0,
16,2,4,4,0,2,2,4,4,2,2,2,2,4,4,2,3,3,3,3,4,4,0,2,2,4,4,0,0,4,4,0,2,2,2,2,4,4,2,2,2,2,3,4,4,4,2,2,4,4,3,3,3,3,3,4,4,8,0,0,0,0,0,0,0,0,0,8,0,
17,1,1,1,1,1,4,4,0,1,1,1,4,4,0,3,3,3,3,4,4,4,0,0,4,4,3,3,3,3,4,4,0,0,0,0,0,4,4,0,1,4,4,0,1,1,3,3,4,4,4,4,4,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
18,0,0,0,0,1,4,4,2,2,2,4,4,1,1,1,4,4,0,0,0,0,4,4,4,1,2,4,4,1,2,2,4,4,1,1,1,2,4,4,1,1,2,2,4,4,0,0,4,4,0,0,0,0,1,4,4,6,0,0,0,0,0,0,0,0,0,6,0,
19,0,0,4,4,0,0,2,2,4,4,4,4,3,3,3,4,4,0,2,4,4,2,2,2,2,2,4,4,3,3,3,3,3,4,4,2,2,2,2,2,4,4,0,3,3,4,4,2,2,2,4,4,4,0,2,2,2,0,0,0,0,0,0,0,0,0,2,0,
20,4,1,1,1,1,4,4,4,1,1,4,4,2,2,2,2,4,4,0,0,4,4,1,2,3,3,4,4,0,0,1,1,1,4,4,4,0,0,1,1,3,4,4,0,0,0,0,4,4,4,0,1,1,2,3,4,8,0,0,0,0,0,0,0,0,0,8,0,
21,0,3,3,3,3,4,4,2,2,3,3,3,4,4,0,0,0,0,0,4,4,4,4,4,0,0,0,0,2,4,4,4,4,2,2,4,4,2,2,2,4,4,0,2,2,4,4,1,3,4,4,1,2,2,2,2,6,0,0,0,0,0,0,0,0,0,6,0,
22,0,0,1,1,1,4,4,4,4,4,4,0,0,4,4,3,3,3,3,4,4,1,1,1,1,1,4,4,4,1,1,1,1,1,4,4,1,1,1,1,4,4,1,3,3,4,4,1,1,3,4,4,0,3,3,3,2,0,0,0,0,0,0,0,0,0,2,0,
23,1,1,1,1,1,4,4,2,2,4,4,4,4,4,2,2,2,2,4,4,1,1,4,4,1,2,2,2,2,4,4,1,1,1,4,4,1,1,1,2,4,4,2,2,2,2,2,4,4,1,1,1,1,4,4,0,4,0,0,0,0,0,0,0,0,0,4,0,
24,0,0,0,4,4,1,1,3,4,4,1,1,4,4,0,0,2,4,4,3,3,3,3,3,4,4,4,4,4,0,0,0,0,4,4,1,1,1,1,1,4,4,1,2,2,4,4,0,2,4,4,0,0,1,2,3,11,0,0,0,0,0,0,0,0,0,11,0,
25,3,3,3,3,4,4,4,0,0,0,0,0,4,4,3,3,4,4,3,3,3,3,4,4,4,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,0,4,4,4,0,0,0,4,4,0,0,0,0,0,4,4,12,0,0,0,0,0,0,0,0,0,12,0,
26,2,2,3,4,4,0,0,0,1,1,4,4,0,0,3,3,4,4,1,2,4,4,1,1,2,4,4,4,4,0,0,0,0,0,4,4,1,1,1,4,4,4,0,0,0,1,1,4,4,1,1,3,3,3,4,4,2,0,0,0,0,0,0,0,0,0,2,0,
27,3,4,4,4,0,0,4,4,0,1,1,1,1,4,4,2,2,2,2,3,4,4,4,1,1,1,2,2,4,4,3,3,3,4,4,0,3,3,3,3,4,4,0,1,1,1,1,4,4,0,0,0,1,4,4,4,17,0,0,0,0,0,0,0,0,0,17,0,
28,0,4,4,0,0,0,0,1,4,4,1,1,1,1,4,4,1,1,1,1,1,4,4,1,1,1,4,4,1,1,1,2,4,4,4,4,4,3,3,3,4,4,1,1,1,2,2,4,4,2,2,2,4,4,1,2,14,0,0,0,0,0,0,0,0,0,14,0,
29,3,4,4,1,1,1,2,3,4,4,0,2,4,4,1,1,1,1,1,4,4,1,1,1,3,4,4,4,0,0,1,1,4,4,1,3,3,3,3,4,4,4,4,1,2,2,4,4,1,3,3,3,4,4,1,1,6,0,0,0,0,0,0,0,0,0,6,0,
30,2,3,3,3,4,4,4,4,0,0,0,1,4,4,4,1,1,1,1,4,4,4,4,1,1,1,1,4,4,1,1,1,2,4,4,1,3,4,4,1,1,2,2,4,4,1,1,1,1,4,4,0,2,4,4,0,2,0,0,0,0,0,0,0,0,0,2,0,
31,4,0,2,2,2,4,4,4,4,1,1,3,4,4,3,3,4,4,0,0,0,4,4,0,1,1,4,4,4,4,0,1,1,1,4,4,0,0,0,0,4,4,0,2,2,2,4,4,0,0,0,1,4,4,0,1,15,0,0,0,0,0,0,0,0,0,15,0,
人数違反,7,6,2,3,4,500,600,300,2,2,6,4,800,800,5,5,1,4,4,1000,600,1,0,2,5,3,1000,1000,0,2,4,3,6,400,700,1,0,3,4,5,600,1000,4,2,2,2,3,700,100,0,4,4,8,4,100,3,
Eの勤務人数,11,8,6,6,6,6,5,4,4,4,6,5,5,4,7,6,5,6,7,3,2,5,6,6,6,6,5,3,5,6,6,5,6,5,4,7,6,7,5,7,6,5,10,5,5,7,6,3,2,6,6,7,8,5,3,5,
Dの勤務人数,6,8,6,6,7,5,3,6,6,9,10,9,6,5,7,6,6,7,7,3,4,6,6,8,9,6,2,2,8,6,7,7,8,7,3,5,7,6,7,8,5,3,6,6,6,6,7,4,4,5,6,7,6,7,5,6,
Lの勤務人数,6,6,6,5,4,4,5,6,6,5,4,4,1,2,6,6,6,7,6,2,1,4,5,6,6,8,3,5,7,6,4,7,6,5,4,6,6,5,5,6,2,4,5,5,6,7,4,2,4,6,4,4,5,5,5,4,
Nの勤務人数,4,4,4,4,3,0,1,4,3,2,2,4,1,2,5,6,3,4,6,4,2,4,5,4,3,4,1,1,4,5,5,4,4,0,2,2,5,4,4,4,2,2,3,4,4,4,4,1,2,5,5,6,3,5,6,3,
Eの必要人数,5,5,6,5,6,6,5,5,4,3,5,5,5,6,3,4,5,4,6,5,3,5,6,6,5,5,6,5,5,6,4,5,5,5,5,6,6,5,4,5,6,7,6,4,5,7,5,4,2,6,3,4,3,4,3,4,
Dの必要人数,5,6,6,6,4,5,4,6,6,8,6,6,6,5,7,6,6,7,6,6,4,5,6,6,8,6,6,6,8,4,6,6,6,7,5,5,7,5,6,8,6,8,6,5,5,5,5,4,4,5,6,6,4,6,6,5,
Lの必要人数,6,5,5,3,3,5,7,7,4,5,3,3,6,7,5,5,5,6,5,5,5,4,5,6,3,6,5,5,7,6,4,5,4,6,5,6,6,5,3,3,5,5,5,5,5,6,4,5,4,6,4,4,4,5,5,4,
Nの必要人数,4,4,3,4,3,4,4,5,3,2,2,4,4,3,5,4,3,3,5,6,3,4,5,4,3,4,4,5,4,5,4,4,3,3,5,2,5,4,4,4,4,4,3,4,4,4,4,4,3,5,4,6,3,3,6,2,
