,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,ナース評価値,最大連勤違反,最小連勤違反,最小連休違反,週末最大違反,休暇希望違反,最大勤務数違反,最大勤務時間違反, 最小勤務時間違反,禁止勤務パターン数,ONリクエスト,OFFリクエスト
92,5,18,18,18,18,3,4,18,18,18,8,8,13,14,10,16,18,18,18,18,18,3,6,6,6,4,18,18,8,0,0,0,0,0,0,0,0,0,8,0,
93,18,18,7,8,6,5,4,18,18,18,6,4,18,18,18,0,4,18,18,18,18,18,7,13,10,11,10,11,4,0,0,0,0,0,0,0,0,0,4,0,
94,9,18,18,18,18,0,0,0,0,5,4,18,18,18,10,16,18,18,18,3,0,2,2,12,16,18,18,18,10,0,0,0,0,0,0,0,0,0,10,0,
95,18,18,6,6,6,18,18,18,1,2,1,1,18,18,18,3,1,6,6,6,4,18,18,18,3,1,1,1,2,0,0,0,0,0,0,0,0,0,2,0,
96,2,9,14,18,18,18,18,4,14,18,18,18,4,11,18,18,18,2,4,18,18,18,18,2,15,15,15,16,10,0,0,0,0,0,0,0,0,0,10,0,
97,4,17,16,18,18,18,0,0,8,18,18,18,8,8,5,5,5,4,18,18,18,18,18,18,8,14,18,18,1,0,0,0,0,0,0,0,0,0,1,0,
98,18,0,1,1,0,2,17,18,18,18,0,2,0,2,2,2,18,18,18,18,18,0,0,5,15,18,18,18,2,0,0,0,0,0,0,0,0,0,2,0,
99,6,6,5,16,15,18,18,18,2,0,13,18,18,18,13,13,18,18,18,1,2,3,15,18,18,18,0,7,3,0,0,0,0,0,0,0,0,0,3,0,
100,10,18,18,18,18,0,11,18,18,18,18,18,18,0,2,2,2,18,18,18,18,18,1,0,18,18,18,3,3,0,0,0,0,0,0,0,0,0,3,0,
101,18,18,18,18,18,7,7,14,18,18,18,15,17,16,18,18,18,18,18,18,18,18,18,18,9,12,15,18,3,0,0,0,0,0,0,0,0,0,3,0,
102,18,18,18,18,18,10,13,11,15,15,18,18,18,0,11,18,18,0,0,18,18,18,18,18,18,18,18,13,1,0,0,0,0,0,0,0,0,0,1,0,
103,18,18,18,18,18,11,11,10,18,18,18,10,14,18,18,18,6,16,18,18,18,18,18,1,2,18,18,1,0,0,0,0,0,0,0,0,0,0,0,0,
104,18,18,18,18,18,18,18,18,8,7,4,18,18,2,6,18,18,18,18,2,7,7,6,18,18,18,18,7,3,0,0,0,0,0,0,0,0,0,3,0,
105,18,18,18,18,18,0,2,5,12,18,18,18,11,14,18,18,18,18,18,18,18,18,3,7,5,18,18,2,9,0,0,0,0,0,0,0,0,0,9,0,
106,18,18,18,18,18,8,5,13,18,18,18,7,5,8,18,18,18,18,18,18,18,18,7,5,15,18,18,7,9,0,0,0,0,0,0,0,0,0,9,0,
107,12,18,18,18,18,18,18,5,5,6,18,18,5,4,18,18,18,18,18,15,15,18,18,18,2,2,18,18,10,0,0,0,0,0,0,0,0,0,10,0,
108,18,7,12,18,18,18,18,18,18,18,18,0,7,14,12,18,18,18,18,7,5,18,18,18,18,18,5,5,0,0,0,0,0,0,0,0,0,0,0,0,
109,12,15,18,18,18,18,0,11,18,18,18,18,1,3,3,12,18,18,18,18,18,18,18,18,18,18,2,0,9,0,0,0,0,0,0,0,0,0,9,0,
110,18,18,0,9,18,18,3,11,10,18,18,18,16,15,18,18,18,2,5,18,18,18,18,18,18,18,18,18,7,0,0,0,0,0,0,0,0,0,7,0,
111,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,2,12,13,13,14,18,18,13,16,18,18,6,13,2,0,0,0,0,0,0,0,0,0,2,0,
112,18,18,18,1,5,18,18,18,18,0,6,10,10,18,18,18,18,18,9,15,15,18,18,18,18,18,18,5,4,0,0,0,0,0,0,0,0,0,4,0,
113,13,16,18,18,18,12,12,18,18,18,18,5,9,13,18,18,18,18,18,7,9,18,18,18,18,18,18,18,11,0,0,0,0,0,0,0,0,0,11,0,
114,18,18,1,16,18,18,18,18,5,9,18,18,18,18,18,18,5,6,7,10,18,18,18,18,18,6,6,18,4,0,0,0,0,0,0,0,0,0,4,0,
115,18,18,3,18,18,18,18,12,18,18,9,18,18,18,18,9,18,18,14,16,18,18,18,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,
116,18,18,18,18,6,5,6,18,18,18,18,18,18,18,5,5,5,5,5,18,18,18,18,18,18,18,18,18,4,0,0,0,0,0,0,0,0,0,4,0,
117,18,18,9,18,18,3,18,18,18,18,18,3,18,18,2,2,6,18,18,18,18,18,18,1,18,18,18,18,1,0,0,0,0,0,0,0,0,0,1,0,
118,15,18,18,18,18,0,1,18,18,18,0,18,18,18,18,18,18,3,3,18,18,16,18,18,18,18,18,18,3,0,0,0,0,0,0,0,0,0,3,0,
119,18,10,17,18,18,18,18,18,18,1,18,18,18,0,10,18,18,18,18,18,18,4,18,18,10,18,18,18,3,0,0,0,0,0,0,0,0,0,3,0,
人数違反,0,0,0,100,0,1500,1100,100,0,0,0,100,400,200,0,0,0,3,0,800,400,0,0,0,0,1,500,200,
a1の勤務人数,5,4,4,4,4,5,4,5,4,5,4,4,4,6,5,4,6,7,4,3,4,4,4,3,4,3,3,4,
a2の勤務人数,4,3,4,3,4,4,4,4,3,3,3,4,4,3,4,4,4,3,4,5,1,5,3,6,6,5,3,4,
a3の勤務人数,3,4,5,4,2,4,4,4,2,6,4,5,2,4,6,5,4,4,6,4,4,4,4,4,4,2,2,2,
a4の勤務人数,2,3,3,3,2,5,3,5,3,2,3,4,4,3,3,3,3,2,3,3,3,2,2,2,3,3,3,4,
a5の勤務人数,4,3,3,2,3,0,3,2,2,3,4,3,4,1,4,2,2,2,2,1,2,1,2,2,2,3,1,0,
d1の勤務人数,4,5,4,2,4,4,2,5,4,4,4,4,3,4,5,4,4,4,4,3,3,4,5,4,4,2,3,4,
d2の勤務人数,5,5,4,4,4,3,3,4,4,4,6,3,4,5,4,2,5,3,4,3,4,4,4,5,2,2,6,4,
d3の勤務人数,4,2,5,4,4,5,4,5,4,5,3,5,4,4,4,6,5,2,4,6,4,4,4,4,4,4,4,4,
d4の勤務人数,4,3,2,4,2,2,2,2,3,2,3,3,3,3,2,3,3,3,4,3,5,2,4,3,3,3,2,4,
d5の勤務人数,3,3,4,3,3,3,2,2,2,3,3,3,2,2,1,3,2,3,1,2,1,1,2,2,3,2,1,3,
p1の勤務人数,4,4,2,6,4,4,3,5,4,4,4,5,4,2,4,4,4,3,5,4,2,4,5,4,5,3,4,2,
p2の勤務人数,4,4,5,4,4,4,4,5,5,4,6,4,3,4,6,4,4,5,5,4,3,3,4,4,5,2,4,4,
p3の勤務人数,5,4,3,6,5,4,4,4,5,4,4,3,3,4,4,4,3,4,6,2,2,4,4,4,5,3,3,4,
p4の勤務人数,3,3,4,2,3,2,3,3,2,5,2,3,1,3,2,4,3,2,3,3,2,3,3,4,3,3,2,5,
p5の勤務人数,2,3,5,3,3,2,1,4,3,3,5,2,2,3,2,4,3,1,2,1,2,3,1,1,1,2,1,1,
n1の勤務人数,3,2,3,5,4,0,4,4,4,4,3,4,4,4,2,5,2,6,5,2,3,6,4,3,4,2,4,4,
n2の勤務人数,2,3,3,3,5,0,1,3,4,3,2,3,5,5,3,4,3,5,2,2,2,3,3,2,4,3,3,5,
n3の勤務人数,3,3,4,4,2,0,1,1,3,3,3,2,1,2,2,2,3,1,3,1,1,3,1,2,1,3,1,1,
a1の必要人数,5,4,4,4,4,5,4,5,4,5,4,4,4,6,5,4,6,4,4,3,4,4,4,3,4,3,3,4,
a2の必要人数,4,3,4,3,4,4,5,4,3,3,3,4,4,4,4,4,4,3,4,5,2,5,3,6,6,4,3,4,
a3の必要人数,3,4,5,4,2,4,4,4,2,6,4,6,2,4,6,5,4,4,6,4,4,4,4,4,4,2,2,2,
a4の必要人数,2,3,3,3,2,5,3,5,3,2,3,4,4,3,3,3,3,2,3,3,3,2,2,2,3,3,3,4,
a5の必要人数,4,3,3,3,3,2,3,2,2,3,4,3,4,1,4,2,2,2,2,1,2,1,2,2,2,3,1,1,
d1の必要人数,4,5,4,2,4,4,3,5,4,4,4,4,4,4,5,4,4,4,4,3,4,4,5,4,4,2,3,4,
d2の必要人数,5,5,4,4,4,4,3,4,4,4,6,3,4,5,4,2,5,3,4,3,4,4,4,5,2,2,6,4,
d3の必要人数,4,2,5,4,4,5,4,5,4,5,3,5,4,4,4,6,5,2,4,6,4,4,4,4,4,4,4,4,
d4の必要人数,4,3,2,4,2,2,2,2,3,2,3,3,3,3,2,3,3,3,4,3,5,2,4,3,3,3,2,4,
d5の必要人数,3,3,4,3,3,3,2,2,2,3,3,3,2,3,1,3,2,3,1,2,1,1,2,2,3,2,4,3,
p1の必要人数,4,4,2,6,4,5,3,5,4,4,4,5,4,2,4,4,4,3,5,4,2,4,5,4,5,3,4,2,
p2の必要人数,4,4,5,4,4,4,4,5,5,4,6,4,3,4,6,4,4,5,5,4,3,3,4,4,5,2,4,4,
p3の必要人数,5,4,3,6,5,4,4,4,5,4,4,3,3,4,4,4,3,4,6,3,2,4,4,4,5,3,3,4,
p4の必要人数,3,3,4,2,3,2,5,3,2,5,2,3,3,3,2,4,3,2,3,4,2,3,3,4,3,3,2,5,
p5の必要人数,2,3,5,3,3,3,3,4,3,3,5,2,2,3,2,4,3,1,2,2,2,3,1,1,1,2,1,1,
n1の必要人数,3,2,3,5,4,2,4,4,4,4,3,4,4,4,2,5,2,6,5,5,4,6,4,3,4,2,4,4,
n2の必要人数,2,3,3,3,5,5,5,3,4,3,2,3,5,5,3,4,3,5,2,2,3,3,3,2,4,3,4,5,
n3の必要人数,3,3,4,4,2,3,2,2,3,3,3,2,2,2,2,2,3,1,3,3,1,3,1,2,1,3,2,2,
