,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,ナース評価値,最大連勤違反,最小連勤違反,最小連休違反,週末最大違反,休暇希望違反,最大勤務数違反,最大勤務時間違反, 最小勤務時間違反,禁止勤務パターン数,ONリクエスト,OFFリクエスト
16,e1,e2,D,e1,e2,─,─,e1,e1,e2,e1,e1,─,─,─,─,e1,e1,D,D,D,─,─,e2,n2,─,─,─,─,─,─,D,D,D,n2,─,─,─,─,─,e2,e1,11,0,0,0,0,0,0,0,0,0,11,0,
17,D,D,e1,e1,e1,─,─,D,e1,e1,e1,n2,─,─,─,e1,e1,e1,e1,e1,─,─,e1,e1,─,─,e1,n2,─,─,e1,e1,─,─,─,─,D,n2,─,─,─,D,6,0,0,0,0,0,0,0,0,0,6,0,
18,e1,e1,e1,D,D,─,─,─,─,─,─,e1,e1,e2,n1,─,─,e2,e1,e2,e1,e2,─,─,e2,e1,─,─,─,D,D,─,─,n1,n1,─,─,─,e2,n1,─,─,7,0,0,0,0,0,0,0,0,0,4,3,
19,n2,─,─,─,─,e2,D,D,e1,L,─,─,e2,e1,e2,n2,─,─,e2,D,D,D,n2,─,─,─,─,─,─,e1,e2,e1,e1,─,─,e1,e2,─,─,─,─,─,10,0,0,0,0,0,0,0,0,0,10,0,
20,e1,e1,e2,L,L,─,─,─,─,L,L,L,─,─,L,L,L,n2,─,─,e2,L,L,L,n2,─,─,e1,e2,─,─,─,─,L,L,n2,─,─,e1,e1,─,─,1,0,0,0,0,0,0,0,0,0,1,0,
21,L,L,L,n1,n1,─,─,D,L,n2,n1,─,─,L,n2,─,─,L,L,L,L,L,─,─,─,D,L,L,─,─,n2,n1,─,─,─,D,D,─,─,─,─,─,5,0,0,0,0,0,0,0,0,0,5,0,
22,e2,n2,─,─,L,L,L,L,─,─,L,L,─,─,D,D,n2,─,─,e2,L,L,L,n2,─,─,e2,D,L,─,─,─,─,─,─,─,e2,L,L,─,─,─,10,0,0,0,0,0,0,0,0,0,10,0,
23,L,L,L,L,n2,─,─,─,─,─,e2,n1,─,─,─,─,e2,L,L,L,n2,─,─,e2,L,L,─,─,D,n2,─,─,e2,n1,n1,n1,─,─,─,─,─,─,1,0,0,0,0,0,0,0,0,0,1,0,
24,e1,e2,─,─,e1,e2,e1,e2,n1,─,─,e2,e1,n1,n1,n1,─,─,─,─,─,e1,e1,L,─,─,e1,e1,e1,e1,e1,─,─,─,─,─,─,─,e2,L,─,─,10,0,0,0,0,0,0,0,0,0,10,0,
25,e1,e1,e1,e1,e1,─,─,─,L,L,─,─,─,D,e1,L,L,L,─,─,e1,D,D,L,L,─,─,e1,L,─,─,e1,e1,─,─,D,e1,e1,D,L,─,─,0,0,0,0,0,0,0,0,0,0,0,0,
26,e2,─,─,e2,e1,e2,e1,─,─,─,e1,e1,D,e1,n2,─,─,e2,e1,─,─,e2,e1,e2,─,─,─,─,─,─,─,e2,e1,e1,n2,─,─,─,e1,n2,─,─,15,0,0,0,0,0,0,0,0,0,15,0,
27,D,D,D,D,D,─,─,D,D,D,D,D,─,─,D,D,D,D,D,─,─,─,─,D,D,─,─,D,D,D,─,─,─,D,D,D,D,─,─,─,D,D,3,0,0,0,0,0,0,0,0,0,0,3,
28,e1,e1,n1,n1,n1,─,─,e1,e1,D,n2,─,─,n2,n1,─,─,D,e1,e1,e1,─,─,e1,n2,─,─,─,─,e1,e1,─,─,e1,e1,e1,e1,─,─,─,─,─,6,0,0,0,0,0,0,0,0,0,6,0,
29,D,D,n2,─,─,D,D,D,D,n2,─,─,D,D,D,─,─,D,n2,─,─,─,─,D,D,─,─,─,─,D,D,D,D,D,─,─,D,D,D,D,─,─,3,0,0,0,0,0,0,0,0,0,3,0,
30,L,L,L,L,─,─,─,e2,D,D,D,D,L,─,─,─,L,L,L,L,L,─,─,─,─,L,L,L,L,L,L,─,─,─,─,e2,D,─,─,─,─,─,0,0,0,0,0,0,0,0,0,0,0,0,
31,e2,L,L,L,L,L,─,─,─,L,L,L,L,L,─,─,─,─,e2,L,─,─,─,─,L,n2,─,─,─,─,e2,L,n2,─,─,─,─,─,e2,L,─,─,5,0,0,0,0,0,0,0,0,0,5,0,
32,─,─,e2,L,n1,─,─,─,n1,n1,─,─,─,e1,e1,D,e1,e2,D,─,─,─,e2,e1,e2,L,L,─,─,─,─,D,D,L,L,L,─,─,─,─,─,─,9,0,0,0,0,0,0,0,0,0,9,0,
33,L,n2,─,─,─,e1,L,L,L,─,─,─,L,L,L,─,─,─,e1,n2,n1,─,─,─,e1,e1,─,─,─,D,e1,D,n1,─,─,─,─,D,n2,n1,─,─,14,0,0,0,0,0,0,0,0,0,14,0,
34,─,─,e1,e1,─,─,─,e1,e2,─,─,─,D,D,D,e1,e2,e1,─,─,─,D,D,D,─,─,─,e2,D,─,─,─,─,e1,e1,e2,e1,e1,e1,─,─,─,8,0,0,0,0,0,0,0,0,0,8,0,
35,─,─,e2,n1,─,─,─,e2,n2,─,─,─,e2,e1,e2,n2,─,─,─,e1,e1,e2,n2,─,─,─,e2,D,─,─,─,e2,D,─,─,─,─,─,n1,n1,─,─,15,0,0,0,0,0,0,0,0,0,15,0,
36,D,D,D,D,─,─,─,D,D,D,D,D,D,─,─,─,─,─,D,D,D,n1,n1,n1,─,─,─,─,D,D,─,─,─,D,D,D,D,─,─,─,─,─,6,0,0,0,0,0,0,0,0,0,3,3,
37,─,e2,e1,e1,e2,D,─,─,─,e2,n2,─,─,─,e1,e2,e1,e2,n2,─,─,─,e1,e1,─,─,─,─,─,e2,n2,─,─,─,e1,e2,─,─,─,─,─,─,20,0,0,0,0,0,0,0,0,0,20,0,
38,─,e2,D,n2,─,─,─,e2,D,D,n1,n1,n1,─,─,─,D,D,D,D,D,D,─,─,─,─,e2,n2,─,─,─,─,─,─,─,─,D,n2,─,─,─,─,4,0,0,0,0,0,0,0,0,0,4,0,
39,L,L,L,─,─,─,D,L,L,L,L,n2,─,─,─,L,L,L,n2,─,─,─,n2,n1,─,─,─,L,n1,n1,─,─,─,─,─,─,L,L,─,─,─,D,3,0,0,0,0,0,0,0,0,0,3,0,
40,n2,─,─,─,e1,D,D,L,─,─,─,─,L,L,─,─,e2,e1,D,─,─,n1,n1,─,─,─,e1,e2,─,─,─,─,─,─,─,─,─,─,─,─,─,─,18,0,0,0,0,0,0,0,0,0,18,0,
41,─,L,L,L,L,n1,─,─,─,─,e2,L,L,L,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,L,n1,─,─,L,L,L,─,─,─,─,─,L,4,0,0,0,0,0,0,0,0,0,4,0,
42,n1,─,─,─,D,D,─,─,e1,n2,─,─,e1,e1,─,─,D,n2,n1,─,─,─,─,─,─,─,D,e1,─,─,─,─,─,─,─,─,e1,D,─,─,─,─,15,0,0,0,0,0,0,0,0,0,15,0,
43,e2,─,─,─,e1,e1,e2,e1,e2,─,─,L,─,─,─,─,─,e1,L,─,─,─,─,─,─,e2,─,─,n1,─,─,─,─,─,─,n1,─,─,─,─,─,─,19,0,0,0,0,0,0,0,0,0,19,0,
44,D,─,─,e2,n1,─,─,D,─,─,─,─,─,─,─,D,─,─,e2,D,D,n1,─,─,─,─,─,─,D,D,D,─,─,─,─,─,─,─,─,─,─,─,4,0,0,0,0,0,0,0,0,0,4,0,
人数違反,100,0,200,301,300,1300,1500,600,500,200,100,100,700,500,101,100,100,1,200,200,0,1,2,1,0,1,200,1,3,8,5,6,5,3,0,9,17,11,8,6,1,4,
e1の勤務人数,8,8,7,8,9,7,6,8,8,5,7,5,5,7,5,6,8,8,8,6,5,4,7,7,4,5,3,4,5,6,6,5,5,5,4,5,7,5,6,4,1,1,
e2の勤務人数,7,4,4,4,2,4,3,4,3,4,2,2,4,2,4,3,5,4,3,2,4,4,3,3,3,3,4,3,3,2,2,3,2,1,2,3,4,0,3,0,1,1,
Dの勤務人数,9,8,7,7,7,8,7,9,6,7,6,5,6,5,7,6,6,6,7,6,6,5,3,5,5,3,3,5,5,9,5,8,6,5,3,7,9,7,6,5,2,3,
Lの勤務人数,8,8,7,7,6,3,3,6,5,8,5,6,5,6,4,5,6,7,5,6,5,7,5,5,4,5,4,3,4,3,4,3,3,3,3,2,1,3,2,3,1,2,
n1の勤務人数,3,2,3,3,4,1,0,1,3,2,3,3,2,1,3,2,3,2,2,1,3,3,3,4,3,2,1,1,2,1,1,1,1,3,2,2,1,0,1,3,0,1,
n2の勤務人数,3,2,2,1,3,0,0,1,1,3,2,3,0,1,2,2,2,3,4,2,1,1,4,2,3,2,0,2,2,2,2,3,2,0,3,1,1,2,1,1,0,0,
e1の必要人数,8,8,7,7,9,9,8,8,8,5,7,6,5,7,4,6,8,7,8,6,5,3,5,6,4,4,3,4,3,2,2,4,3,4,4,1,1,1,3,4,0,1,
e2の必要人数,7,4,5,4,5,5,7,4,4,4,2,2,4,3,4,3,5,4,4,2,4,4,3,3,3,3,4,3,3,2,2,3,1,1,2,3,0,0,2,0,1,1,
Dの必要人数,9,8,7,7,7,9,7,9,6,7,6,5,6,5,7,6,6,6,7,6,6,5,3,5,5,3,3,4,4,5,4,4,4,3,3,2,2,2,2,1,2,0,
Lの必要人数,8,8,7,7,6,7,6,7,5,8,5,6,8,7,4,5,6,7,5,6,5,7,5,5,4,5,4,3,4,3,4,2,3,3,3,2,1,1,2,1,1,1,
n1の必要人数,4,2,3,4,4,3,3,4,4,4,4,3,3,2,3,3,3,2,3,3,3,3,3,4,3,2,2,1,2,1,1,1,1,3,2,2,1,0,1,3,0,1,
n2の必要人数,3,2,3,3,3,3,3,3,4,3,2,3,3,3,3,2,3,3,4,2,1,1,4,2,3,2,1,2,2,2,2,3,2,0,3,1,1,2,1,1,0,0,
