,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,ナース評価値,最大連勤違反,最小連勤違反,最小連休違反,週末最大違反,休暇希望違反,最大勤務数違反,最大勤務時間違反, 最小勤務時間違反,禁止勤務パターン数,ONリクエスト,OFFリクエスト
10,E,E,L,─,─,E,D,D,L,L,─,─,E,D,L,─,─,E,L,L,L,L,─,─,─,E,D,L,L,─,─,E,D,─,─,D,L,─,─,─,─,─,E,E,E,D,L,─,─,E,E,E,E,E,─,─,E,E,E,E,E,─,─,D,D,L,L,─,─,E,L,L,L,L,─,─,─,─,L,L,L,─,─,L,17,0,0,0,0,0,0,0,0,0,17,0,
11,L,L,L,L,L,─,─,E,E,E,E,D,─,─,E,E,L,L,L,─,─,─,─,─,E,E,E,L,L,─,─,D,L,L,L,L,─,─,E,E,E,E,─,─,─,─,─,E,L,L,L,─,─,L,L,L,─,─,E,L,L,─,─,D,D,D,─,─,E,L,─,─,E,L,L,─,─,L,L,L,L,L,─,─,18,0,0,0,0,0,0,0,0,0,18,0,
12,D,D,D,L,L,─,─,D,D,D,D,L,─,─,L,L,L,L,L,─,─,D,D,L,─,─,D,L,L,─,─,D,D,─,─,L,L,L,─,─,─,─,L,L,L,L,─,─,D,L,L,L,─,─,─,L,L,L,L,─,─,─,─,L,L,L,L,─,─,D,L,L,─,─,D,L,L,L,L,─,─,D,D,L,29,0,0,0,0,0,0,0,0,0,13,16,
13,E,E,E,─,─,E,L,─,─,D,D,L,─,─,L,L,─,─,─,E,L,─,─,D,D,D,─,─,L,L,L,L,L,─,─,E,E,E,E,L,─,─,E,D,D,D,─,─,D,L,L,─,─,─,─,─,E,E,L,L,L,─,─,─,D,D,L,L,L,─,─,─,E,E,D,L,L,─,─,E,D,D,L,L,13,0,0,0,0,0,0,0,0,0,13,0,
14,E,E,E,E,D,─,─,E,E,E,E,E,─,─,─,D,D,D,D,D,─,─,E,D,D,─,─,─,E,E,E,E,─,─,─,E,E,E,E,─,─,E,E,D,─,─,E,E,E,─,─,─,─,─,─,─,E,E,E,D,D,─,─,E,E,D,─,─,E,E,─,─,E,E,E,E,E,─,─,E,E,E,E,E,9,0,0,0,0,0,0,0,0,0,9,0,
15,E,E,E,D,L,─,─,E,E,E,E,E,─,─,E,E,E,D,D,─,─,L,L,L,L,L,─,─,E,L,L,─,─,E,D,─,─,E,E,E,─,─,L,L,L,─,─,E,D,L,L,─,─,─,L,L,L,─,─,─,E,E,L,L,─,─,E,E,E,E,─,─,─,─,E,E,E,E,─,─,E,E,─,─,17,0,0,0,0,0,0,0,0,0,17,0,
16,L,L,─,─,E,L,L,L,L,─,─,E,L,L,L,─,─,E,E,E,E,─,─,E,E,E,─,─,E,E,E,L,L,─,─,E,E,E,E,L,─,─,E,E,E,E,E,─,─,─,E,L,L,─,─,─,─,─,L,L,L,─,─,L,L,L,─,─,E,E,E,E,─,─,E,E,E,L,─,─,E,L,─,─,12,0,0,0,0,0,0,0,0,0,12,0,
17,E,L,L,L,L,─,─,D,L,L,L,L,─,─,E,E,D,D,L,─,─,E,L,L,L,L,─,─,─,─,─,─,─,─,─,E,E,E,L,L,─,─,E,L,─,─,L,L,L,─,─,E,E,E,L,L,─,─,E,E,E,─,─,L,L,L,─,─,E,E,E,L,─,─,E,E,E,E,E,─,─,─,E,E,10,0,0,0,0,0,0,0,0,0,10,0,
18,─,D,D,D,D,─,─,─,D,D,D,D,─,─,D,D,D,D,─,─,─,D,D,D,D,─,─,─,D,D,D,─,─,─,─,─,─,─,─,D,D,D,D,─,─,D,D,D,D,─,─,D,D,D,D,─,─,D,D,D,D,─,─,─,D,D,D,─,─,D,D,D,D,─,─,D,D,D,D,─,─,D,D,D,6,0,0,0,0,0,0,0,0,0,6,0,
19,D,─,─,─,D,D,D,─,─,─,E,E,E,E,─,─,E,E,E,E,─,─,E,E,D,D,─,─,E,E,E,D,─,─,─,E,D,D,D,─,─,─,D,D,D,─,─,E,E,D,D,─,─,─,─,─,E,E,D,D,─,─,─,E,E,E,E,─,─,─,E,E,E,─,─,D,D,D,D,─,─,E,E,E,16,0,0,0,0,0,0,0,0,0,10,6,
20,L,L,L,L,─,─,L,L,L,─,─,─,─,─,─,E,L,L,─,─,─,E,D,L,L,─,─,D,L,─,─,E,D,D,L,─,─,D,D,L,─,─,E,E,E,D,─,─,─,─,─,D,L,L,L,─,─,E,E,E,E,─,─,─,D,D,D,L,─,─,E,D,L,─,─,E,E,L,─,─,E,E,E,E,17,0,0,0,0,0,0,0,0,0,17,0,
21,D,D,D,D,─,─,─,L,L,L,─,─,D,D,L,L,─,─,D,D,L,L,─,─,D,L,L,L,─,─,D,L,L,─,─,D,D,L,L,─,─,─,D,D,L,L,─,─,─,─,─,─,─,D,L,L,─,─,D,D,D,─,─,L,L,L,─,─,D,L,L,─,─,D,D,L,─,─,D,D,D,D,─,─,15,0,0,0,0,0,0,0,0,0,15,0,
人数違反,106,6,5,302,304,600,800,103,6,3,302,201,301,400,2,3,1,4,2,300,200,203,1,2,201,1,500,202,0,1,100,200,102,500,800,101,102,200,201,200,700,100,2,0,201,104,201,200,201,100,302,3,0,205,501,800,200,101,3,305,6,800,501,6,5,105,3,104,200,0,1,5,302,0,5,3,0,200,204,2,6,6,201,0,
Eの勤務人数,8,7,5,3,4,2,1,6,6,7,4,5,3,2,5,6,5,5,4,5,2,3,4,5,5,5,3,1,6,5,5,6,4,3,0,7,5,7,6,3,2,4,8,5,5,4,5,5,3,4,5,5,5,4,1,0,6,8,6,4,5,2,1,7,5,5,6,3,6,5,7,4,7,5,7,7,5,4,3,5,5,5,4,4,
Dの勤務人数,7,6,7,5,5,1,2,6,5,5,5,4,3,3,4,4,4,5,3,3,2,2,3,3,5,4,4,4,4,4,3,3,3,1,3,3,3,2,4,4,4,3,6,5,2,5,2,2,4,3,2,4,3,4,2,0,1,2,5,6,5,1,2,3,5,5,4,3,2,4,2,5,3,3,5,4,3,3,5,4,5,7,3,3,
Lの勤務人数,5,8,6,7,7,2,4,4,7,6,6,7,3,3,6,5,6,4,7,3,6,8,7,7,6,6,2,5,7,5,4,4,6,4,4,5,7,5,3,5,1,3,6,5,6,7,6,2,4,5,7,6,7,8,6,6,5,4,6,7,8,2,3,7,7,7,6,6,3,4,5,4,4,5,5,5,5,5,4,5,8,6,6,7,
Eの必要人数,5,5,5,6,7,5,5,5,5,6,7,7,4,3,5,5,5,4,3,5,3,5,3,4,7,5,4,3,6,5,5,6,5,5,7,6,6,7,5,4,4,5,7,5,6,5,6,5,4,5,6,5,5,6,5,5,7,7,6,7,5,5,5,5,5,6,6,4,6,5,7,3,5,5,5,5,5,5,4,4,5,5,6,4,
Dの必要人数,4,3,3,3,3,3,3,4,3,3,4,4,2,3,3,2,3,2,2,4,3,2,3,3,5,3,5,3,4,3,3,4,3,3,3,4,3,4,4,4,4,3,5,5,3,3,3,2,3,3,4,3,3,2,3,3,2,3,2,1,2,1,1,1,2,2,4,1,3,4,2,1,3,3,3,3,3,3,1,3,2,2,3,3,
Lの必要人数,6,7,5,7,5,3,7,5,4,6,5,6,5,6,5,5,6,4,7,5,6,5,7,6,5,6,5,4,7,5,5,5,4,5,5,5,5,5,5,6,6,3,6,5,5,5,5,4,5,5,5,4,7,5,5,6,5,4,6,7,5,7,4,5,5,5,3,4,4,4,4,4,7,5,4,5,5,6,5,5,5,5,5,7,
